animerank,https://akiba-souken.com/special/tv_anime/,,,,,
id,title,url,twitter,screen_name,start,followers_count
1,おくさまが生徒会長！,http://www.dreamcreation.co.jp/okusama/,https://twitter.com/anime_okusama,anime_okusama,2015/7/1,1009
2,GANGSTA.,http://gangsta-project.com/,https://twitter.com/GANGSTA_Project,GANGSTA_Project,2015/7/1,13195
3,ケイオスドラゴン 赤竜戦役,http://chaosdragon.red/,https://twitter.com/chaosdragon_red,chaosdragon_red,2015/7/2,5046
4,アクエリオンロゴス,http://aqlogos.com/,https://twitter.com/Aqlogos,Aqlogos,2015/7/2,3422
5,乱歩奇譚 Game of Laplace,http://www.rampokitan.com/,https://twitter.com/rampokitan,rampokitan,2015/7/2,6020
6,青春×機関銃,http://www.tbs.co.jp/anime/aoharu/,https://twitter.com/aoharu_anime,aoharu_anime,2015/7/2,11452
7,城下町のダンデライオン,http://www.tbs.co.jp/anime/dande/,https://twitter.com/dande_anime,dande_anime,2015/7/2,4721
8,ヘタリア The World Twinkle,http://hetalia.com/twt/,https://twitter.com/animehetalia,animehetalia,2015/7/3,27667
9,うしおととら,http://ushitora.tv/,https://twitter.com/Ushitora_TV,Ushitora_TV,2015/7/3,15258
10,戦姫絶唱シンフォギアGX,http://symphogear-gx.com/,https://twitter.com/SYMPHOGEAR,SYMPHOGEAR,2015/7/3,32261
11,ミス・モノクローム-The Animation- 2,http://www.starchild.co.jp/special/miss_monochrome_anime/,https://twitter.com/monochro_staff,monochro_staff,2015/7/3,5532
12,うーさーのその日暮らし 夢幻編,http://wooser.tv/#/top,https://twitter.com/PR_wooser,PR_wooser,2015/7/3,12603
13,わかば＊ガール,http://wakabagirl.com/,https://twitter.com/wakaba_anime,wakaba_anime,2015/7/3,2709
14,GATE(ゲート) 自衛隊 彼の地にて、斯く戦えり,http://gate-anime.com/,https://twitter.com/gate_anime,gate_anime,2015/7/3,4915
15,Classroom☆Crisis(クラスルーム☆クライシス),http://www.classroom-crisis.com/,https://twitter.com/clcr_project,clcr_project,2015/7/3,3937
16,下ネタという概念が存在しない退屈な世界,http://www.shimoseka.com/,https://twitter.com/shimoseka,shimoseka,2015/7/3,4179
17,デュラララ!!×2 転,http://www.durarara.com/,https://twitter.com/drrr_anime,drrr_anime,2015/7/4,114433
18,WORKING!!!,http://www.wagnaria.com/,https://twitter.com/Wagnaria,Wagnaria,2015/7/4,75031
19,暗闇三太,http://www.kbc.co.jp/santa/index.html,,,2015/7/4,
20,ガッチャマンクラウズ インサイト,http://www.ntv.co.jp/GC_insight/,https://twitter.com/GATCHAMANCrowds,GATCHAMANCrowds,2015/7/4,18517
21,六花の勇者,http://rokka-anime.jp/,https://twitter.com/rokka_anime,rokka_anime,2015/7/4,2633
22,ドラゴンボール超(スーパー),http://www.toei-anim.co.jp/tv/dragon_s/,https://twitter.com/DB_super2015,DB_super2015,2015/7/5,25084
23,VENUS PROJECT,https://venus-project-tv.themedia.jp/,https://twitter.com/formula_venus,formula_venus,2015/7/5,2084
24,ワカコ酒,http://www.wakakozake.jp/,https://twitter.com/anime_wakakozak,anime_wakakozak,2015/7/5,703
25,GOD EATER(ゴッドイーター),http://anime.godeater.jp/,https://twitter.com/god_eater_anime,god_eater_anime,2015/7/5,24366
26,キュートランスフォーマー 帰ってきたコンボイの謎2期(仮),http://www.qtransformers.com/,https://twitter.com/TF_pr,TF_pr,2015/7/6,16230
27,赤髪の白雪姫,http://clarines-kingdom.com/,https://twitter.com/akagami_anime,akagami_anime,2015/7/6,10519
28,To LOVEる−とらぶる−ダークネス 2nd,http://www.j-toloveru.com/index.html,https://twitter.com/toloveru_com,toloveru_com,2015/7/6,33033
29,てーきゅう5期,http://te-kyu.com/,https://twitter.com/te_kyu,te_kyu,2015/7/6,11065
30,実は私は,http://jitsuwata.tv/,https://twitter.com/jitsuwata_anime,jitsuwata_anime,2015/7/6,4678
31,のんのんびより りぴーと,http://www.nonnontv.com/,https://twitter.com/nonnontv,nonnontv,2015/7/6,55054
32,ミリオンドール,http://milliondoll.com/,https://twitter.com/million_doll,million_doll,2015/7/6,3242
33,怪獣酒場 カンパーイ！,http://www.kaijusakabakanpai.com/,,,2015/7/7,
34,オーバーロード,http://overlord-anime.com/,https://twitter.com/over_lord_anime,over_lord_anime,2015/7/7,2539
35,それが声優！,http://soregaseiyu.com/,https://twitter.com/soresei_anime,soresei_anime,2015/7/7,3696
36,モンスター娘のいる日常,http://monmusu.tv/,https://twitter.com/monmusu_tv,monmusu_tv,2015/7/7,5475
37,ビキニ・ウォリアーズ,http://bikini-warriors.com/anime/,https://twitter.com/bikiniwarriors,bikiniwarriors,2015/7/7,830
38,空戦魔導士候補生の教官,http://ku-sen.jp/,https://twitter.com/kusen_official,kusen_official,2015/7/8,4742
39,純情ロマンチカ3,http://suzukisan.info/,https://twitter.com/marukawashoten,marukawashoten,2015/7/8,57983
40,干物妹！うまるちゃん,http://umaru-ani.me/,https://twitter.com/umaru_anime,umaru_anime,2015/7/8,5583
41,がっこうぐらし！,http://gakkougurashi.com/,https://twitter.com/gakkou_gurashi,gakkou_gurashi,2015/7/9,7303
42,だんちがい,http://www.dreamcreation.co.jp/danchigai/,https://twitter.com/anime_danchi,anime_danchi,2015/7/9,2413
43,監獄学園(プリズンスクール),http://prison-anime.com/,https://twitter.com/prison_anime,prison_anime,2015/7/10,8599
44,アイドルマスター シンデレラガールズ 2nd SEASON,http://imas-cinderella.com/,https://twitter.com/imas_anime,imas_anime,2015/7/17,111067
45,Fate/kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ!,http://anime.prisma-illya.jp/,https://twitter.com/prisma_illya,prisma_illya,2015/7/24,24474
46,「ゆるゆり　なちゅやちゅみ！」「ゆるゆり　なちゅやちゅみ！＋」,http://yuruyuri.com/blog/archives/2987,https://twitter.com/anime_yuruyuri,anime_yuruyuri,2015/7/25,79252
47,Charlotte(シャーロット),http://charlotte-anime.jp/,https://twitter.com/Charlotte_AB_,Charlotte_AB_,2015/7/4,49453
48,洲崎西 THE ANIMATION,http://seaside-c.jp/program/suzakinishi/,https://twitter.com/suzakinishi,suzakinishi,,45048
49,枕男子,http://makuranodanshi.com/,https://twitter.com/makuranodanshi,makuranodanshi,,7706
,,,,,,
